convention,eps,p,F_in,C_in,P_success,F_out,gain,purity_out,C_out,N_out,concurrence_gain,bell_leakage,trace_distance_to_ideal,min_eigenvalue
pauli,0.0,0.0,0.9999999999999997,0.9999999999999994,0.9999999999999993,0.9999999999999998,1.1102230246251565e-16,1.0,0.9999999999999999,0.5,4.440892098500626e-16,2.2371143170757382e-17,0.0,0.0
pauli,0.0,0.005,0.9999999999999997,0.9999999999999994,0.9828294277983356,0.9946310844152618,-0.005368915584737843,0.9893017843902892,0.9892621688305119,0.49463108441526205,-0.010737831169487566,2.05281399451653e-17,0.005368915584737902,0.001345812919936351
pauli,0.0,0.01,0.9999999999999997,0.9999999999999994,0.9659812162944141,0.9891909118006891,-0.01080908819931059,0.9785423186945446,0.9783818236013881,0.4891909118006892,-0.0216181763986113,3.087596834669243e-17,0.010809088199310687,0.0027167221826403455
pauli,0.0,0.015,0.9999999999999997,0.9999999999999994,0.9494506593157114,0.9836793763519632,-0.016320623648036436,0.967724473115468,0.9673587527039214,0.48367937635196334,-0.03264124729607809,1.8650818006767067e-17,0.01632062364803662,0.004112925580371218
pauli,0.0,0.02,0.9999999999999997,0.9999999999999994,0.9332330987170738,0.9780964178767154,-0.02190358212328425,0.9568512498874903,0.9561928357534321,0.47809641787671564,-0.04380716424656739,1.7217189565326594e-17,0.021903582123284367,0.005534609721455121
pauli,0.0,0.025,0.9999999999999997,0.9999999999999994,0.9173239241218101,0.9724420238514978,-0.02755797614850186,0.9459257839286772,0.9448840477029954,0.472442023851498,-0.055115952297004056,6.629078689050813e-17,0.027557976148502097,0.006981949306439313
pauli,0.0,0.03,0.9999999999999997,0.9999999999999994,0.9017185726627832,0.966716231498175,-0.033283768501824684,0.9349513432172014,0.9334324629963501,0.4667162314981752,-0.06656753700364937,2.778194362562427e-17,0.03328376850182482,0.008455106388111573
pauli,0.0,0.035,0.9999999999999997,0.9999999999999994,0.8864125287235037,0.9609191298753963,-0.03908087012460337,0.9239313288744069,0.9218382597507957,0.4609191298753965,-0.07816174024920375,1.057893450275243e-16,0.03908087012460347,0.009954229616355708
pauli,0.0,0.04,0.9999999999999997,0.9999999999999994,0.8714013236792205,0.9550508619804327,-0.044949138019567014,0.9128692749364848,0.910101723960868,0.45505086198043276,-0.08989827603913148,1.9723298391320182e-17,0.04494913801956715,0.011479453468942481
pauli,0.0,0.045,0.9999999999999997,0.9999999999999994,0.8566805356380153,0.9491116268562951,-0.050888373143704535,0.9017688477968799,0.8982232537125897,0.44911162685629524,-0.10177674628740974,5.706133862230198e-17,0.0508883731437046,0.013030897469482104
pauli,0.0,0.05,0.9999999999999997,0.9999999999999994,0.8422457891818924,0.9431016816986736,-0.05689831830132608,0.8906338453017724,0.886203363397346,0.4431016816986736,-0.11379663660265349,2.6815059861457495e-17,0.0568983183013263,0.014608665393900874
pauli,0.0,0.055,0.9999999999999997,0.9999999999999994,0.828092755107873,0.9370213439568389,-0.06297865604316077,0.87946819548128,0.8740426879136795,0.437021343956839,-0.12595731208632,9.385388737887742e-17,0.06297865604316095,0.01621284446694194
pauli,0.0,0.06,0.9999999999999997,0.9999999999999994,0.8142171501690872,0.930870993422284,-0.0691290065777157,0.8682759548995209,0.8617419868445675,0.4308709934222842,-0.13825801315543196,2.7772570588905606e-17,0.06912900657771578,0.01784350455033119
pauli,0.0,0.065,0.9999999999999997,0.9999999999999994,0.8006147368158664,0.9246510742984742,-0.07534892570152552,0.8570613066072276,0.8493021485969499,0.4246510742984745,-0.1506978514030496,4.125979673252754e-17,0.07534892570152557,0.019500697324397978
pauli,0.0,0.07,0.9999999999999997,0.9999999999999994,0.7872813229368333,0.9183620972447056,-0.08163790275529403,0.8458285576813606,0.8367241944894117,0.41836209724470563,-0.16327580551058773,2.574628052100507e-17,0.08163790275529423,0.02118445546508284
pauli,0.0,0.075,0.9999999999999997,0.9999999999999994,0.7742127615999997,0.9120046413866809,-0.08799535861331875,0.8345821363370309,0.8240092827733622,0.4120046413866809,-0.17599071722663728,2.4371315074565163e-17,0.08799535861331895,0.022894791818425044
pauli,0.0,0.08,0.9999999999999997,0.9999999999999994,0.7614049507938521,0.9055793562860491,-0.09442064371395054,0.8233265885980918,0.8111587125720974,0.40557935628604946,-0.18884128742790207,2.572849781973663e-17,0.09442064371395062,0.024631698574759747
pauli,0.0,0.085,0.9999999999999997,0.9999999999999994,0.7488538331684489,0.8990869638607851,-0.10091303613921454,0.8120665745139392,0.7981739277215703,0.39908696386078524,-0.2018260722784292,6.715689624495101e-17,0.10091303613921478,0.02639514644501892
pauli,0.0,0.09,0.9999999999999997,0.9999999999999994,0.7365553957765116,0.8925282602479356,-0.10747173975206403,0.8008068639114252,0.7850565204958703,0.39252826024793563,-0.21494347950412918,6.022471512819709e-17,0.10747173975206435,0.028185083841676194
pauli,0.0,0.095,0.9999999999999997,0.9999999999999994,0.724505669814516,0.8859041175999397,-0.11409588240005997,0.7895523316723346,0.7718082351998802,0.38590411759994003,-0.22819176480011927,6.782724876486001e-17,0.11409588240006005,0.030001436067022758
pauli,0.0,0.1,0.9999999999999997,0.9999999999999994,0.7127007303637858,0.8792154858053983,-0.12078451419460134,0.7783079525285383,0.7584309716107969,0.37921548580539843,-0.24156902838920258,2.6721481136383184e-17,0.12078451419460158,0.03184410451161658
pauli,0.0,0.105,0.9999999999999997,0.9999999999999994,0.7011366961315835,0.8724633941248993,-0.1275366058751004,0.7670787953688545,0.7449267882497994,0.37246339412489915,-0.25507321175020004,1.0085357662896968e-16,0.1275366058751006,0.033712965865880004
pauli,0.0,0.11,0.9999999999999997,0.9999999999999994,0.6898097291922054,0.8656489527322335,-0.13435104726776614,0.7558700170536573,0.7312979054644676,0.36564895273223363,-0.26870209453553184,1.3363745040977557e-17,0.13435104726776628,0.03560787134797034
pauli,0.0,0.115,0.9999999999999997,0.9999999999999994,0.6787160347280703,0.8587733541511149,-0.14122664584888478,0.7446868557355162,0.7175467083022294,0.3587733541511149,-0.28245329169777,8.461799293462256e-17,0.14122664584888495,0.03752864595116928
pauli,0.0,0.12,0.9999999999999997,0.9999999999999994,0.6678518607708155,0.8518378745773195,-0.14816212542268015,0.7335346236865073,0.7036757491546392,0.35183787457731963,-0.2963242508453603,2.860649641345697e-17,0.14816212542268026,0.03947508771417058
pauli,0.0,0.125,0.9999999999999997,0.9999999999999994,0.6572134979423865,0.8448438750760161,-0.15515612492398356,0.7224186996354036,0.689687750152032,0.3448438750760161,-0.31031224984796746,7.90528907291158e-17,0.1551561249239838,0.041446967017751905
pauli,0.0,0.13,0.9999999999999997,0.9999999999999994,0.6467972791961302,0.8377928026439384,-0.16220719735606126,0.7113445206206229,0.6755856052878778,0.3377928026439385,-0.32441439471212163,1.0855971554384025e-17,0.1622071973560614,0.04344402591143054
pauli,0.0,0.135,0.9999999999999997,0.9999999999999994,0.6365995795578877,0.8306861911260076,-0.16931380887399206,0.7003175733676706,0.6613723822520157,0.3306861911260076,-0.3386276177479838,7.03124840616997e-17,0.16931380887399225,0.04546597747378507
pauli,0.0,0.14,0.9999999999999997,0.9999999999999994,0.6266168158670862,0.8235256619759883,-0.17647433802401136,0.6893433852027674,0.6470513239519768,0.32352566197598864,-0.3529486760480226,1.3716547637525696e-17,0.17647433802401152,0.04751250521021183
pauli,0.0,0.145,0.9999999999999997,0.9999999999999994,0.6168454465178312,0.8163129248508214,-0.18368707514917826,0.6784275145174363,0.6326258497016419,0.3163129248508215,-0.3673741502983575,6.865230051587727e-17,0.18368707514917854,0.04958326249194446
pauli,0.0,0.15,0.9999999999999997,0.9999999999999994,0.6072819711999996,0.8090497780283848,-0.19095022197161482,0.6675755408020188,0.6180995560567699,0.30904977802838485,-0.38190044394322953,1.422406442406215e-17,0.19095022197161507,0.051677872040209724
pauli,0.0,0.155,0.9999999999999997,0.9999999999999994,0.597922930640331,0.8017381086386014,-0.19826189136139827,0.656793054269327,0.6034762172772029,0.3017381086386013,-0.39652378272279654,2.228952998484305e-17,0.19826189136139855,0.05379592545942776
pauli,0.0,0.16,0.9999999999999997,0.9999999999999994,0.5887649063435206,0.7943798926980592,-0.20562010730194047,0.6460856450929825,0.5887597853961191,0.2943798926980594,-0.4112402146038804,6.617621029619231e-17,0.20562010730194052,0.05593698282336189
pauli,0.0,0.165,0.9999999999999997,0.9999999999999994,0.5798045203333115,0.7869771949386166,-0.21302280506138305,0.6354588922883211,0.573954389877233,0.28697719493861673,-0.4260456101227664,1.0138203360759897e-16,0.21302280506138332,0.058100572318122545
pauli,0.0,0.17,0.9999999999999997,0.9999999999999994,0.5710384348935876,0.779532168420845,-0.22046783157915462,0.6249183522671143,0.5590643368416905,0.2795321684208453,-0.4409356631583089,3.223282766792506e-17,0.22046783157915487,0.06028618994588381
pauli,0.0,0.17500000000000002,0.9999999999999997,0.9999999999999994,0.5624633523094645,0.7720470539236364,-0.2279529460763633,0.6144695471007032,0.544094107847273,0.2720470539236366,-0.4559058921527265,1.5892067405351922e-17,0.22795294607636346,0.0624932992931146
pauli,0.0,0.18,0.9999999999999997,0.9999999999999994,0.5540760146083838,0.7645241791018148,-0.23547582089818486,0.604117952529402,0.5290483582036297,0.2645241791018149,-0.4709516417963697,2.9915040988946963e-17,0.23547582089818503,0.06472133136704337
pauli,0.0,0.185,0.9999999999999997,0.9999999999999994,0.5458732033012027,0.7569659574042271,-0.24303404259577255,0.5938689857592587,0.5139319148084548,0.25696595740422734,-0.48606808519154465,1.6689968790316468e-17,0.2430340425957727,0.06696968450395871
pauli,0.0,0.19,0.9999999999999997,0.9999999999999994,0.5378517391232903,0.7493748867454748,-0.25062511325452486,0.5837279930903364,0.49874977349094957,0.2493748867454748,-0.5012502265090499,1.735856977145297e-17,0.25062511325452513,0.06923772435281159
pauli,0.0,0.195,0.9999999999999997,0.9999999999999994,0.5300084817756154,0.7417535479252153,-0.25824645207478436,0.5737002374236099,0.4835070958504309,0.24175354792521542,-0.5164929041495685,2.3728843165332872e-17,0.25824645207478464,0.07152478393741823
pauli,0.0,0.2,0.9999999999999997,0.9999999999999994,0.5223403296658435,0.7341046027898293,-0.2658953972101704,0.56379088569634,0.46820920557965817,0.23410460278982925,-0.5317907944203413,2.8036991984624106e-17,0.26589539721017064,0.07383016380036414
pauli,0.05,0.0,0.9624999999999996,0.9250000000000009,0.9268749999999994,0.9994942683749156,0.03699426837491604,0.9989888777691336,0.9989885367497422,0.49949426837491573,0.07398853674974126,2.420323080236825e-17,5.553825628556996e-17,0.0001685772083613868
pauli,0.05,0.005,0.9624999999999996,0.9250000000000009,0.9113785585879979,0.993829805278427,0.031329805278427436,0.9877116127514854,0.9876596105568751,0.49382980527842724,0.06265961055687419,4.314130160871414e-18,0.005664463096488525,0.0016020416743426672
pauli,0.05,0.01,0.9624999999999996,0.9250000000000009,0.8961730477057088,0.9880937859114165,0.025593785911416922,0.9763815246050658,0.9761875718228303,0.4880937859114166,0.0511875718228294,9.232182799573891e-17,0.011400482463499065,0.0030611584950671123
pauli,0.05,0.015,0.9624999999999996,0.9250000000000009,0.8812542200324295,0.9822862782792188,0.019786278279219194,0.9650019975295179,0.964572556558441,0.482286278279219,0.03957255655844005,2.6652058778610504e-17,0.017207990095696787,0.0045460787338443345
pauli,0.05,0.02,0.9624999999999996,0.9250000000000009,0.8666178715921591,0.9764074021915002,0.013907402191500662,0.9535765490619414,0.9528148043830003,0.47640740219150046,0.027814804382999325,2.6870488762724685e-17,0.0230868661834153,0.006056939966219111
pauli,0.05,0.025,0.9624999999999996,0.9250000000000009,0.8522598415199336,0.9704573312708066,0.007957331270807,0.9421088296398374,0.9409146625416125,0.4704573312708066,0.015914662541611557,1.9136132240324624e-17,0.029036937104108894,0.007593865540388628
pauli,0.05,0.03,0.9624999999999996,0.9250000000000009,0.8381760118281619,0.9644362949615168,0.0019362949615172598,0.930602621831977,0.9288725899230339,0.46443629496151717,0.0038725899230329652,3.708470230559297e-17,0.0350579734133987,0.009156963826797627
pauli,0.05,0.035,0.9624999999999996,0.9250000000000009,0.8243623071729621,0.9583445805338382,-0.004155419466161381,0.9190618392205425,0.9166891610676777,0.45834458053383864,-0.008310838932323206,3.0017482733923694e-17,0.0411496878410772,0.010746327458282075
pauli,0.05,0.04,0.9624999999999996,0.9250000000000009,0.8108146946204968,0.9521825350771395,-0.01031746492286012,0.9074905249183154,0.9043650701542808,0.45218253507713957,-0.02063492984572013,2.3448287443644554e-17,0.047311733297775965,0.012362032562249992
pauli,0.05,0.045,0.9624999999999996,0.9250000000000009,0.7975291834133088,0.9459505674765607,-0.01654943252343888,0.8958928497052006,0.8919011349531213,0.4459505674765608,-0.033098865046879644,2.1282656939229077e-17,0.05354370089835485,0.014004137986524192
pauli,0.05,0.05,0.9624999999999996,0.9250000000000009,0.7845018247366576,0.939649150366494,-0.022850849633505588,0.8842731097690291,0.8792983007329891,0.4396491503664941,-0.04570169926701184,2.5639509770294925e-17,0.05984511800842148,0.01567268452060705
pauli,0.05,0.055,0.9624999999999996,0.9250000000000009,0.7717287114848553,0.9332788220541887,-0.029221177945810917,0.8726357240363865,0.8665576441083773,0.4332788220541889,-0.05844235589162361,2.4542023290645586e-17,0.06621544632072679,0.01736769411425452
pauli,0.05,0.06,0.9624999999999996,0.9250000000000009,0.7592059780276013,0.9268401884063902,-0.035659811593609425,0.8609852310801307,0.8536803768127836,0.42684018840639026,-0.0713196231872173,6.462575430396368e-17,0.07265407996852546,0.01908916909539017
pauli,0.05,0.065,0.9624999999999996,0.9250000000000009,0.7469297999763196,0.9203339246915992,-0.04216607530840033,0.8493262855913553,0.8406678493831975,0.42033392469159947,-0.08433215061680344,1.400342724657162e-17,0.07916034368331629,0.020837091389522253
pauli,0.05,0.07,0.9624999999999996,0.9250000000000009,0.7348963939504921,0.9137607773702231,-0.04873922262977648,0.8376636544047831,0.8275215547404455,0.4137607773702232,-0.0974784452595554,3.517608362899218e-17,0.08573349100469238,0.02261142174296319
pauli,0.05,0.075,0.9624999999999996,0.9250000000000009,0.7231020173439998,0.9071215658245771,-0.05537843417542243,0.8260022120679531,0.814243131649155,0.4071215658245775,-0.11075686835084597,3.3200911515671995e-17,0.09237270255033836,0.02441209895228689
pauli,0.05,0.08,0.9624999999999996,0.9250000000000009,0.7115429680914513,0.9004171840204298,-0.06208281597956977,0.8143469359461294,0.8008343680408598,0.4004171840204297,-0.1241656319591411,2.3768360937638502e-17,0.09907708435448578,0.026239039102588325
pauli,0.05,0.085,0.9624999999999996,0.9250000000000009,0.7002155844345253,0.8936486020914982,-0.06885139790850137,0.8027029008565307,0.7872972041829966,0.3936486020914982,-0.1377027958170043,3.13874571170747e-17,0.10584566628341731,0.02809213481724614
pauli,0.05,0.09,0.9624999999999996,0.9250000000000009,0.6891162446883018,0.8868168678380853,-0.07568313216191425,0.7910752732273809,0.7736337356761707,0.38681686783808544,-0.15136626432383027,6.460512298702931e-17,0.11267740053683029,0.02997125452200297
pauli,0.05,0.095,0.9624999999999996,0.9250000000000009,0.6782413670076007,0.8799231081308173,-0.08257689186918227,0.7794693047792626,0.7598462162616354,0.3799231081308174,-0.16515378373836553,3.14899882067337e-17,0.11957116024409822,0.031876241726308256
pauli,0.05,0.1,0.9624999999999996,0.9250000000000009,0.6675874091533166,0.8729685302102752,-0.08953146978972437,0.7678903257284557,0.7459370604205504,0.3729685302102753,-0.17906293957945052,2.4061358926433144e-17,0.1265257381646403,0.03380691432497619
pauli,0.05,0.105,0.9624999999999996,0.9250000000000009,0.6571508682587542,0.8659544228731598,-0.09654557712683975,0.7563437375142545,0.7319088457463198,0.36595442287315993,-0.19309115425368117,1.702306445742515e-17,0.13353984550175574,0.03576306392331528
pauli,0.05,0.11,0.9624999999999996,0.9250000000000009,0.6469282805959654,0.8588821575355251,-0.10361784246447447,0.7448350050547206,0.7177643150710507,0.3588821575355253,-0.20723568492895028,3.5170730212134285e-17,0.1406121108393903,0.037744455188985664
