eps,level,F_circuit,F_recurrence,F_closed_form,P_level,P_total_tree,Tr_rho_pow,err_F,err_P_total,state_vs_matrix_power_fro
0.2,6,0.9999999999999998,1.0,1.0,0.9999999999999998,3.0395636748666346e-05,3.0395636748666695e-05,2.220446049250313e-16,3.4897757426877174e-19,5.084843670103403e-94
0.3,1,0.9726720647773278,0.9726720647773279,0.9726720647773279,0.6174999999999996,0.6174999999999996,0.6174999999999997,1.1102230246251565e-16,1.1102230246251565e-16,7.85429459156923e-17
0.3,2,0.9997369458000094,0.9997369458000096,0.9997369458000096,0.9463398842793684,0.36084531249999946,0.3608453124999996,2.220446049250313e-16,1.6653345369377348e-16,1.2412671358118616e-16
0.3,3,0.999999976922023,0.9999999769220234,0.9999999769220232,0.9994739838633686,0.13014084733947717,0.13014084733947728,3.3306690738754696e-16,1.1102230246251565e-16,1.570092458683778e-16
0.3,4,0.9999999999999996,0.9999999999999997,1.0,0.999999953844047,0.016936639364510335,0.01693663936451037,1.1102230246251565e-16,3.469446951953614e-17,1.1102230246251565e-16
0.3,5,0.9999999999999998,1.0,1.0,0.9999999999999993,0.0002868497529634808,0.00028684975296348214,2.220446049250313e-16,1.3552527156068805e-18,1.5700924586837752e-16
0.3,6,0.9999999999999998,1.0,1.0,0.9999999999999998,8.228278077520997e-08,8.228278077521074e-08,2.220446049250313e-16,7.676236084492097e-22,2.1499376424746292e-16
0.5,1,0.8928571428571427,0.8928571428571429,0.8928571428571429,0.4374999999999998,0.4374999999999998,0.4374999999999999,2.220446049250313e-16,1.1102230246251565e-16,0.0
0.5,2,0.9952229299363057,0.9952229299363056,0.9952229299363057,0.8010204081632651,0.1533203124999998,0.15332031249999992,1.1102230246251565e-16,1.1102230246251565e-16,7.850701866859688e-17
0.5,3,0.9999923200589819,0.9999923200589821,0.999992320058982,0.9904762870704694,0.023283243179321234,0.023283243179321265,2.220446049250313e-16,3.122502256758253e-17,7.85046229433279e-17
0.5,4,0.9999999999803391,0.9999999999803391,0.9999999999803392,0.9999846401966058,0.0005421010862534078,0.0005421010862534093,0.0,1.5178830414797062e-18,4.569570471892876e-27
0.5,5,0.9999999999999998,1.0,1.0,0.9999999999606782,2.9387358770556893e-07,2.938735877055707e-07,2.220446049250313e-16,1.7470054537119944e-21,1.4686870114880517e-16
0.5,6,0.9999999999999998,1.0,1.0,0.9999999999999998,8.63616855509427e-14,8.636168555094375e-14,2.220446049250313e-16,1.0476072821335037e-27,5.551115123125783e-17
0.7,1,0.7106299212598425,0.7106299212598425,0.7106299212598425,0.3174999999999999,0.3174999999999999,0.31749999999999995,0.0,5.551115123125783e-17,1.1274368112207335e-16
0.7,2,0.9476236875018176,0.9476236875018181,0.9476236875018179,0.5329065658131316,0.05372031249999996,0.0537203125,5.551115123125783e-16,4.163336342344337e-17,1.7561023100748036e-16
0.7,3,0.9989827334852391,0.9989827334852392,0.9989827334852392,0.8989050791515117,0.002594124976196284,0.002594124976196289,1.1102230246251565e-16,4.7704895589362195e-18,1.1102272597818149e-16
0.7,4,0.9999996543535269,0.9999996543535271,0.9999996543535269,0.9979668467453614,6.7158023190314814e-06,6.715802319031508e-06,2.220446049250313e-16,2.625802136488331e-20,2.3551386880269196e-16
0.7,5,0.9999999999999601,0.99999999999996,0.99999999999996,0.9999993087072132,4.510196960962082e-11,4.5101969609621174e-11,1.1102230246251565e-16,3.554291694563791e-25,5.578088954947358e-29
0.7,6,0.9999999999999998,1.0,1.0,0.9999999999999202,2.0341876626669974e-21,2.03418766266703e-21,2.220446049250313e-16,3.2725762726892484e-35,1.4902649404719217e-42
0.9,1,0.4101941747572814,0.41019417475728154,0.41019417475728154,0.25749999999999984,0.25749999999999984,0.25749999999999984,1.1102230246251565e-16,0.0,7.850462293418876e-17
0.9,2,0.5920114418373267,0.5920114418373268,0.5920114418373267,0.28421623150155517,0.018845312499999968,0.018845312499999975,1.1102230246251565e-16,6.938893903907228e-18,1.415262216750919e-16
0.9,3,0.8633250688672928,0.8633250688672928,0.8633250688672929,0.4059624351301962,0.00014417585510253855,0.00014417585510253866,0.0,1.0842021724855044e-19,1.668223237351511e-16
0.9,4,0.9917149595474467,0.9917149595474467,0.9917149595474469,0.7515568534680925,1.562236970639159e-08,1.562236970639163e-08,0.0,3.970466940254533e-23,2.482534153247273e-16
0.9,5,0.9999767360112362,0.9999767360112362,0.9999767360112364,0.9835214416219608,2.400367040703741e-16,2.400367040703752e-16,0.0,1.0846837446788912e-30,7.850462293418876e-17
0.9,6,0.9999999998195871,0.9999999998195872,0.9999999998195874,0.99995347274409,5.761493851125021e-32,5.761493851125075e-32,1.1102230246251565e-16,5.473822126268817e-46,1.1102230246251565e-16
