eps,F_in_circuit,F_in_analytic,P_success_circuit,P_success_analytic,F_out_circuit,F_out_analytic,eps_prime_circuit,eps_prime_analytic,gain_circuit,purity_out,C_in,C_out,N_in,N_out,abs_err_P_success,abs_err_F_out,abs_err_eps_prime
0.0,0.9999999999999997,1.0,0.9999999999999993,1.0,0.9999999999999998,1.0,2.9605947323337506e-16,0.0,1.1102230246251565e-16,1.0,0.9999999999999994,0.9999999999999999,0.4999999999999998,0.5,6.661338147750939e-16,2.220446049250313e-16,2.9605947323337506e-16
0.002,0.9984999999999996,0.9985,0.9970029999999994,0.997003,0.999999247745493,0.9999992477454932,1.0030060093590976e-06,1.003006009009e-06,0.0014992477454933706,0.9999984954917408,0.9969999999999418,0.9999984956358281,0.49849999999999983,0.4999992477454931,5.551115123125783e-16,2.220446049250313e-16,3.5009756358327874e-16
0.004,0.9969999999999996,0.997,0.9940119999999993,0.994012,0.9999969819277835,0.9999969819277836,4.024096288635093e-06,4.024096288575993e-06,0.0029969819277839704,0.9999939638677124,0.9940000000000215,0.9999939638374677,0.4969999999999999,0.49999698192778375,6.661338147750939e-16,1.1102230246251565e-16,5.91000298287743e-17
0.006,0.9954999999999996,0.9955,0.9910269999999995,0.991027,0.9999931888838547,0.9999931888838548,9.081488193748063e-06,9.081488193560821e-06,0.0044931888838550815,0.9999863778295647,0.9909999999999836,0.9999863777537127,0.4954999999999997,0.4999931888838547,4.440892098500626e-16,1.1102230246251565e-16,1.8724171518824662e-16
0.008,0.9939999999999997,0.994,0.9880479999999994,0.988048,0.9999878548410601,0.9999878548410603,1.6193545253173625e-05,1.6193545252862208e-05,0.005987854841060458,0.9999757098787939,0.988000000000004,0.9999757096750943,0.4939999999999998,0.49998785484106034,6.661338147750939e-16,2.220446049250313e-16,3.1141674525572705e-16
0.01,0.9924999999999997,0.9925,0.9850749999999995,0.985075,0.9999809659163005,0.9999809659163008,2.5378778266027524e-05,2.5378778265614294e-05,0.007480965916300764,0.999961932315663,0.9849999999999852,0.999961931827961,0.4924999999999997,0.4999809659163006,5.551115123125783e-16,3.3306690738754696e-16,4.1323010551569395e-16
0.012,0.9909999999999995,0.991,0.9821079999999993,0.982108,0.999972508115197,0.9999725081151971,3.665584640399899e-05,3.665584640385782e-05,0.008972508115197453,0.9999450172381327,0.9819999999999928,0.9999450162299283,0.49099999999999966,0.4999725081151971,6.661338147750939e-16,1.1102230246251565e-16,1.411698991211907e-16
0.014,0.9894999999999996,0.9895,0.9791469999999994,0.979147,0.9999624673312587,0.9999624673312587,5.0043558321721804e-05,5.004355832168204e-05,0.010462467331259107,0.999924936540786,0.9790000000000042,0.9999249346624334,0.4894999999999998,0.4999624673312588,5.551115123125783e-16,0.0,3.9763114675905875e-17
0.016,0.9879999999999995,0.988,0.9761919999999995,0.976192,0.9999508293450468,0.9999508293450469,6.55608732709941e-05,6.556087327083197e-05,0.01195082934504721,0.999901661913765,0.9759999999999981,0.999901658689164,0.48799999999999977,0.49995082934504675,4.440892098500626e-16,1.1102230246251565e-16,1.6212888236805112e-16
0.018000000000000002,0.9864999999999997,0.9865,0.9732429999999994,0.973243,0.9999375798233326,0.9999375798233329,8.322690222313985e-05,8.322690222277481e-05,0.013437579823332935,0.9998751648417035,0.9729999999999938,0.9998751596466915,0.4864999999999998,0.49993757982333265,5.551115123125783e-16,2.220446049250313e-16,3.6503731894871327e-16
0.02,0.9849999999999997,0.985,0.9702999999999993,0.9702999999999999,0.9999227043182519,0.999922704318252,0.00010306090899743954,0.00010306090899721736,0.014922704318252267,0.9998454166026673,0.9699999999999944,0.9998454086362998,0.48499999999999976,0.49992270431825203,6.661338147750939e-16,1.1102230246251565e-16,2.22180130196592e-16
0.022,0.9834999999999997,0.9835,0.9673629999999995,0.967363,0.999906188266452,0.9999061882664522,0.00012508231139740644,0.00012508231139706603,0.016406188266452237,0.9998123882670928,0.9669999999999983,0.9998123765330486,0.4834999999999998,0.49990618826645217,4.440892098500626e-16,2.220446049250313e-16,3.4041237710613625e-16
0.024,0.9819999999999997,0.982,0.9644319999999993,0.964432,0.9998880169882374,0.9998880169882376,0.00014931068235017145,0.00014931068234981835,0.01788801698823772,0.999776050696735,0.9640000000000022,0.9997760339763467,0.48199999999999976,0.4998880169882376,6.661338147750939e-16,2.220446049250313e-16,3.5309754252421666e-16
0.026000000000000002,0.9804999999999996,0.9805,0.9615069999999996,0.961507,0.9998681756867082,0.9998681756867085,0.00017576575105578604,0.00017576575105537459,0.019368175686708566,0.9997363745436163,0.9610000000000023,0.9997363513731863,0.4804999999999998,0.4998681756867084,4.440892098500626e-16,3.3306690738754696e-16,4.1145472445824893e-16
0.028,0.9789999999999995,0.979,0.9585879999999993,0.958588,0.9998466494468945,0.9998466494468948,0.00020446740414066986,0.00020446740414025631,0.02084664944689496,0.9996933302489791,0.9579999999999971,0.9996932988935635,0.47899999999999976,0.4998466494468947,6.661338147750939e-16,3.3306690738754696e-16,4.1354181364028353e-16
0.03,0.9774999999999997,0.9775,0.9556749999999995,0.9556749999999999,0.9998234232348863,0.9998234232348863,0.00023543568681831198,0.0002354356868182175,0.022323423234886564,0.9996468880422448,0.954999999999998,0.9996468464694543,0.4774999999999997,0.4998234232348864,4.440892098500626e-16,0.0,9.448821933211171e-17
0.032,0.9759999999999996,0.976,0.9527679999999994,0.952768,0.999798481896957,0.9997984818969571,0.0002686908040573736,0.00026869080405723115,0.023798481896957324,0.9995970179399754,0.951999999999996,0.9995969637934518,0.47599999999999976,0.4997984818969572,5.551115123125783e-16,1.1102230246251565e-16,1.4246416546459528e-16
0.034,0.9744999999999996,0.9745,0.9498669999999995,0.9498669999999999,0.9997718101586852,0.9997718101586854,0.00030425312175304714,0.0003042531217528349,0.025271810158685626,0.9995436897448422,0.9489999999999975,0.9995436203173653,0.4744999999999998,0.4997718101586853,4.440892098500626e-16,2.220446049250313e-16,2.122325752640375e-16
0.036000000000000004,0.9729999999999996,0.973,0.9469719999999994,0.9469719999999999,0.9997433926240689,0.9997433926240692,0.00034214316790818583,0.00034214316790781574,0.026743392624069218,0.9994868730445986,0.9460000000000002,0.9994867852478824,0.47299999999999975,0.49974339262406897,5.551115123125783e-16,3.3306690738754696e-16,3.7009241157792694e-16
