q,F_star_step3,F_star_step4,F_star_4qubit,P_success_star_4qubit
0.0,1.0,1.0,1.0,1.0
0.00025,0.9994685085167739,0.9995624100761066,0.9997498201771333,0.9986881170214881
0.0005,0.9989365329754077,0.9991246399833286,0.9994992801661613,0.9973774674219298
0.00075,0.998404071732645,0.9986866892388375,0.9992483791514853,0.9960680502053534
0.001,0.99787112313756,0.9982485573582244,0.9989971163147757,0.9947598643758662
0.00125,0.9973376855315033,0.9978102438554906,0.9987454908349579,0.9934529089376507
0.0015,0.9968037572480544,0.9973717482430426,0.9984935018882011,0.9921471828949664
0.00175,0.9962693366129691,0.9969330700316834,0.998241148647904,0.9908426852521433
0.002,0.9957344219441289,0.9964942087306055,0.9979884302846832,0.989539415013584
0.0022500000000000003,0.9951990115514877,0.9960551638473836,0.9977353459663593,0.9882373711837589
0.0025,0.9946631037370209,0.9956159348879672,0.9974818948579444,0.9869365527672056
0.00275,0.9941266967946708,0.9951765213566727,0.997228076121628,0.9856369587685248
0.003,0.9935897890102952,0.9947369227561771,0.9969738889167651,0.9843385881923818
0.0032500000000000003,0.9930523786616116,0.9942971385875087,0.996719332399862,0.9830414400435012
0.0035,0.9925144640181448,0.9938571683500408,0.9964644057245625,0.9817455133266653
0.00375,0.9919760433411698,0.9934170115414827,0.9962091080416356,0.9804508070467131
0.004,0.99143711488366,0.9929766676578747,0.9959534384989616,0.9791573202085385
0.00425,0.9908976768902281,0.992536136193577,0.9956973962415172,0.9778650518170859
0.0045000000000000005,0.9903577275970715,0.9920954166412637,0.9954409804113631,0.97657400087735
0.00475,0.9898172652319153,0.9916545084919148,0.9951841901476299,0.9752841663943721
0.005,0.9892762880139561,0.9912134112348088,0.9949270245865044,0.9739955473732407
0.00525,0.988734794153802,0.9907721243575137,0.9946694828612146,0.9727081428190856
0.0055,0.988192781853417,0.990330647345879,0.9944115641020166,0.9714219517370783
0.00575,0.9876502493060604,0.989888979684029,0.9941532674361799,0.9701369731324279
0.006,0.9871071946962287,0.9894471208543534,0.9938945919879739,0.9688532060103818
0.00625,0.9865636161995953,0.9890050703374996,0.9936355368786525,0.96757064937622
0.006500000000000001,0.9860195119829499,0.9885628276123649,0.9933761012264404,0.9662893022352547
0.00675,0.9854748802041384,0.9881203921560876,0.993116284146518,0.9650091635928266
0.007,0.9849297190120014,0.9876777634440391,0.9928560847510078,0.9637302324543061
0.00725,0.984384026546312,0.9872349409498158,0.9925955021489583,0.9624525078250863
0.0075,0.9838378009377126,0.9867919241452301,0.9923345354463302,0.9611759887105829
0.00775,0.9832910403076532,0.9863487125003021,0.9920731837459812,0.9599006741162325
0.008,0.9827437427683283,0.9859053054832521,0.9918114461476512,0.9586265630474899
0.00825,0.9821959064226093,0.9854617025604906,0.9915493217479467,0.9573536545098246
0.0085,0.9816475293639845,0.9850179031966108,0.9912868096403261,0.9560819475087187
0.00875,0.9810986096764891,0.9845739068543785,0.9910239089150842,0.9548114410496649
0.009000000000000001,0.9805491454346436,0.9841297129947262,0.9907606186593373,0.9535421341381658
0.00925,0.9799991347033835,0.9836853210767411,0.9904969379570064,0.9522740257797271
0.0095,0.9794485755379946,0.9832407305576586,0.9902328658888037,0.9510071149798591
0.00975,0.9788974659840439,0.9827959408928519,0.9899684015322148,0.9497414007440725
0.01,0.9783458040773124,0.9823509515358249,0.9897035439614847,0.9484768820778772
0.01025,0.9777935878437249,0.9819057619382013,0.9894382922476008,0.9472135579867768
0.0105,0.9772408152992809,0.9814603715497163,0.9891726454582772,0.9459514274762695
0.010750000000000001,0.9766874844499834,0.9810147798182084,0.9889066026579383,0.9446904895518426
0.011,0.9761335932917714,0.980568986189609,0.9886401629077044,0.9434307432189744
0.01125,0.9755791398104428,0.9801229901079336,0.9883733252653726,0.942172187483125
0.0115,0.9750241219815867,0.9796767910152734,0.9881060887854026,0.9409148213497398
0.01175,0.9744685377705076,0.979230388351784,0.987838452518899,0.939658643824242
0.012,0.9739123851321547,0.9787837815556784,0.9875704155135961,0.9384036539120364
0.01225,0.9733556620110448,0.9783369700632162,0.9873019768138391,0.937149850618498
0.0125,0.9727983663411879,0.9778899533086938,0.9870331354605695,0.9358972329489765
0.012750000000000001,0.9722404960460126,0.9774427307244359,0.986763890491306,0.9346457999087905
0.013000000000000001,0.9716820490382896,0.9769953017407859,0.9864942409401296,0.9333955505032262
0.01325,0.971123023220053,0.9765476657860945,0.9862241858376652,0.9321464837375325
0.0135,0.9705634164825243,0.9760998222867123,0.9859537242110645,0.9308985986169204
0.01375,0.970003226706032,0.9756517706669785,0.9856828550839885,0.9296518941465584
0.014,0.9694424517599344,0.9752035103492117,0.985411577476591,0.9284063693315727
0.01425,0.9688810895025373,0.9747550407536995,0.9851398904054993,0.9271620231770406
0.0145,0.9683191377810147,0.9743063612986884,0.9848677928837983,0.9259188546879897
0.014750000000000001,0.9677565944313264,0.9738574714003753,0.984595283921011,0.9246768628693949
0.015,0.9671934572781364,0.9734083704728955,0.9843223625230826,0.9234360467261766
0.01525,0.9666297241347279,0.9729590579283132,0.9840490276923599,0.9221964052631952
0.0155,0.9660653928029216,0.9725095331766114,0.9837752784275753,0.9209579374852499
0.01575,0.9655004610729891,0.9720597956256817,0.983501113723827,0.919720642397075
0.016,0.9649349267235688,0.971609844681314,0.9832265325725622,0.9184845190033397
0.01625,0.9643687875215774,0.9711596797471852,0.9829515339615567,0.9172495663086405
0.0165,0.9638020412221247,0.97070930022485,0.982676116874897,0.9160157833175009
0.01675,0.9632346855684242,0.9702587055137291,0.9824002802929627,0.9147831690343686
0.017,0.9626667182917041,0.9698078950110997,0.9821240231924055,0.9135517224636129
0.01725,0.962098137111119,0.9693568681120837,0.9818473445461314,0.9123214426095186
0.0175,0.9615289397336566,0.9689056242096379,0.9815702433232814,0.9110923284762863
0.017750000000000002,0.9609591238540475,0.9684541626945424,0.9812927184892121,0.909864379068027
0.018000000000000002,0.9603886871546734,0.9680024829553903,0.9810147690054761,0.9086375933887614
0.01825,0.9598176273054719,0.9675505843785761,0.980736393829803,0.9074119704424146
0.0185,0.9592459419638436,0.9670984663482854,0.9804575919160787,0.9061875092328131
0.01875,0.9586736287745554,0.9666461282464828,0.9801783622143267,0.9049642087636823
0.019,0.9581006853696458,0.9661935694529015,0.9798987036706877,0.9037420680386441
0.01925,0.9575271093683265,0.9657407893450318,0.979618615227399,0.9025210860612125
0.0195,0.9569528983768851,0.9652877872981098,0.979338095822775,0.9013012618347891
0.01975,0.9563780499885844,0.9648345626851055,0.9790571443911862,0.9000825943626618
0.02,0.9558025617835647,0.9643811148767123,0.97877575986304,0.8988650826480031
0.02025,0.9552264313287404,0.9639274432413343,0.9784939411647582,0.8976487256938624
0.0205,0.9546496561776987,0.9634735471450753,0.9782116872187575,0.896433522503165
0.02075,0.954072233870596,0.963019425951727,0.9779289969434277,0.8952194720787083
0.021,0.9534941619340556,0.9625650790227573,0.9776458692531123,0.894006573423161
0.02125,0.9529154378810591,0.9621105057172982,0.977362303058085,0.8927948255390551
0.021500000000000002,0.9523360592108427,0.9616557053921333,0.97707829726453,0.8915842274287852
0.021750000000000002,0.9517560234087876,0.961200677401687,0.9767938507745201,0.8903747780946044
0.022,0.9511753279463147,0.9607454210980122,0.9765089624859942,0.8891664765386219
0.02225,0.9505939702807711,0.9602899358307764,0.9762236312927375,0.8879593217627979
0.0225,0.9500119478553217,0.9598342209472513,0.9759378560843569,0.8867533127689402
0.02275,0.9494292580988365,0.9593782757923,0.9756516357462612,0.8855484485587013
0.023,0.9488458984257786,0.9589220997083643,0.9753649691596376,0.8843447281335751
0.02325,0.948261866236088,0.9584656920354515,0.9750778552014299,0.8831421504948926
0.0235,0.9476771589150677,0.9580090521111235,0.9747902927443148,0.8819407146438176
0.02375,0.9470917738332656,0.9575521792704823,0.9745022806566812,0.8807404195813444
0.024,0.94650570834636,0.9570950728461589,0.9742138178026056,0.8795412643082939
0.02425,0.9459189597950366,0.9566377321682985,0.9739249030418293,0.8783432478253084
0.0245,0.9453315255048695,0.9561801565645494,0.9736355352297361,0.8771463691328498
0.02475,0.9447434027862013,0.9557223453600485,0.9733457132173277,0.8759506272311934
0.025,0.9441545889340183,0.9552642978774093,0.9730554358512017,0.8747560211204284
0.02525,0.9435650812278267,0.9548060134367085,0.9727647019735259,0.8735625498004479
0.025500000000000002,0.9429748769315285,0.9543474913554714,0.972473510422017,0.8723702122709507
0.025750000000000002,0.9423839732932923,0.9538887309486597,0.9721818600299139,0.871179007531433
0.026000000000000002,0.9417923675454282,0.9534297315286591,0.9718897496259555,0.8699889345811891
0.02625,0.941200056904256,0.9529704924052625,0.9715971780343549,0.8687999924193018
0.0265,0.9406070385699752,0.9525110128856594,0.971304144074776,0.8676121800446437
0.02675,0.9400133097265324,0.9520512922744204,0.9710106465623085,0.8664254964558689
0.027,0.9394188675414891,0.9515913298734845,0.9707166843074428,0.8652399406514137
0.02725,0.9388237091658842,0.9511311249821439,0.9704222561160444,0.8640555116294866
0.0275,0.9382278317340995,0.9506706768970307,0.9701273607893299,0.8628722083880694
0.02775,0.9376312323637205,0.9502099849121022,0.9698319971238405,0.8616900299249093
0.028,0.9370339081553981,0.9497490483186284,0.9695361639114171,0.8605089752375181
0.02825,0.9364358561927061,0.949287866405175,0.9692398599391738,0.8593290433231651
0.0285,0.9358370735419997,0.9488264384575905,0.9689430839894728,0.858150233178874
0.02875,0.9352375572522713,0.9483647637589917,0.9686458348398974,0.8569725438014189
0.029,0.9346373043550041,0.9479028415897485,0.9683481112632264,0.8557959741873202
0.02925,0.9340363118640262,0.9474406712274694,0.9680499120274066,0.8546205233328383
0.029500000000000002,0.9334345767753606,0.9469782519469871,0.9677512358955275,0.8534461902339727
0.029750000000000002,0.9328320960670744,0.9465155830203418,0.9674520816257924,0.852272973886453
0.03,0.9322288666991285,0.9460526637167691,0.9671524479714935,0.8511008732857395
0.03025,0.9316248856132214,0.9455894933026817,0.9668523336809824,0.8499298874270148
0.0305,0.9310201497326358,0.9451260710416569,0.9665517374976449,0.848760015305181
0.03075,0.930414655962079,0.9446623961944182,0.9662506581598705,0.847591255914854
0.031,0.9298084011875268,0.9441984680188231,0.9659490944010278,0.8464236082503622
0.03125,0.9292013822760596,0.9437342857698449,0.965647044949433,0.845257071305737
0.0315,0.9285935960757024,0.9432698486995582,0.9653445085283241,0.8440916440747116
0.03175,0.9279850394152582,0.9428051560571233,0.965041483855831,0.8429273255507153
0.032,0.9273757091041435,0.9423402070887689,0.9647379696449474,0.8417641147268679
0.03225,0.9267656019322192,0.9418750010377779,0.9644339646035013,0.8406020105959775
0.0325,0.9261547146696212,0.9414095371444698,0.9641294674341263,0.8394410121505325
0.03275,0.9255430440665868,0.9409438146461848,0.9638244768342326,0.8382811183826986
0.033,0.9249305868532833,0.9404778327772683,0.9635189914959756,0.8371223282843143
0.03325,0.9243173397396299,0.9400115907690527,0.9632130101062284,0.8359646408468842
0.0335,0.9237032994151213,0.9395450878498424,0.9629065313465501,0.8348080550615757
0.03375,0.9230884625486462,0.9390783232448956,0.9625995538931563,0.8336525699192133
0.034,0.9224728257883058,0.938611296176409,0.9622920764168883,0.832498184410273
0.03425,0.921856385761232,0.9381440058634998,0.9619840975831824,0.8313448975248792
0.0345,0.9212391390733973,0.9376764515221887,0.9616756160520392,0.8301927082527973
0.03475,0.9206210823094284,0.9372086323653822,0.9613666304779919,0.8290416155834293
0.035,0.9200022120324161,0.9367405476028569,0.9610571395100753,0.8278916185058098
0.035250000000000004,0.9193825247837217,0.9362721964412402,0.9607471417917943,0.8267427160085993
0.035500000000000004,0.9187620170827815,0.9358035780839938,0.9604366359610912,0.8255949070800787
0.035750000000000004,0.9181406854269103,0.935334691731395,0.9601256206503148,0.8244481907081456
0.036000000000000004,0.9175185262911012,0.9348655365805201,0.9598140944861864,0.8233025658803068
0.03625,0.916895536127825,0.9343961118252255,0.9595020560897689,0.8221580315836758
0.0365,0.916271711366823,0.9339264166561294,0.9591895040764324,0.8210145868049645
0.03675,0.9156470484149024,0.9334564502605949,0.9588764370558226,0.8198722305304789
0.037,0.915021543655727,0.932986211822709,0.9585628536318258,0.8187309617461134
0.03725,0.9143951934496044,0.9325157005232677,0.9582487524025365,0.8175907794373458
0.0375,0.9137679941332726,0.9320449155397541,0.9579341319602228,0.8164516825892306
0.03775,0.9131399420196817,0.931573856046321,0.9576189908912931,0.8153136701863946
0.038,0.9125110333977774,0.9311025212137722,0.9573033277762601,0.814176741213029
0.03825,0.9118812645322754,0.9306309102095429,0.9569871411897084,0.8130408946528871
0.0385,0.9112506316634394,0.9301590221976803,0.956670429700257,0.8119061294892745
0.03875,0.9106191310068522,0.929686856338825,0.9563531918705266,0.8107724447050472
0.039,0.9099867587531854,0.9292144117901907,0.9560354262571016,0.809639839282601
0.03925,0.9093535110679679,0.9287416877055454,0.9557171314104971,0.8085083122038712
0.0395,0.9087193840913477,0.9282686832351905,0.9553983058751203,0.807377862450322
0.03975,0.9080843739378553,0.9277953975259423,0.9550789481892357,0.8062484890029419
0.04,0.9074484766961604,0.9273218297211099,0.9547590568849278,0.8051201908422374
0.04025,0.9068116884288289,0.9268479789604773,0.9544386304880651,0.8039929669482293
0.0405,0.9061740051720737,0.9263738443802816,0.9541176675182619,0.8028668163004422
0.04075,0.9055354229355046,0.9258994251131918,0.9537961664888412,0.801741737877901
0.041,0.9048959377018744,0.9254247202882903,0.9534741259067969,0.8006177306591233
0.04125,0.9042555454268226,0.9249497290310499,0.9531515442727564,0.799494793622116
0.0415,0.9036142420386138,0.9244744504633137,0.9528284200809414,0.7983729257443639
0.04175,0.9029720234378762,0.9239988837032745,0.9525047518191294,0.7972521260028276
0.042,0.9023288854973315,0.9235230278654518,0.9521805379686146,0.7961323933739333
0.04225,0.9016848240615298,0.9230468820606725,0.9518557770041699,0.7950137268335713
0.0425,0.9010398349465717,0.9225704453960475,0.9515304673940055,0.7938961253570838
0.04275,0.9003939139398329,0.9220937169749499,0.9512046075997298,0.7927795879192608
0.043000000000000003,0.8997470567996839,0.9216166958969945,0.9508781960763097,0.7916641134943336
0.043250000000000004,0.899099259255207,0.9211393812580145,0.9505512312720295,0.7905497010559688
0.043500000000000004,0.8984505170059057,0.9206617721500393,0.9502237116284497,0.789436349577258
0.043750000000000004,0.8978008257214163,0.9201838676612719,0.9498956355803663,0.788324058030714
0.044,0.8971501810412111,0.9197056668760664,0.9495670015557693,0.7872128253882626
0.04425,0.8964985785743007,0.9192271688749056,0.9492378079758017,0.7861026506212379
0.0445,0.89584601389893,0.9187483727343778,0.9489080532547147,0.7849935327003699
0.04475,0.8951924825622719,0.9182692775271524,0.9485777357998278,0.7838854705957821
0.045,0.8945379800801178,0.9177898823219584,0.9482468540114855,0.782778463276983
0.04525,0.8938825019365616,0.9173101861835596,0.947915406283012,0.7816725097128581
0.0455,0.8932260435836814,0.9168301881727311,0.9475833910006709,0.7805676088716632
0.04575,0.8925686004412167,0.9163498873462356,0.9472508065436185,0.7794637597210166
0.046,0.8919101678962399,0.9158692827567996,0.9469176512838606,0.778360961227891
0.04625,0.8912507413028273,0.9153883734530879,0.9465839235862086,0.7772592123586086
0.0465,0.8905903159817217,0.9149071584796811,0.9462496218082329,0.7761585120788301
0.04675,0.8899288872199904,0.9144256368770478,0.9459147443002192,0.775058859353549
0.047,0.8892664502706835,0.9139438076815238,0.9455792894051208,0.7739602531470824
0.04725,0.8886030003524826,0.9134616699252837,0.9452432554585148,0.7728626924230666
0.0475,0.8879385326493473,0.9129792226363168,0.9449066407885538,0.7717661761444444
0.04775,0.8872730423101552,0.9124964648384025,0.9445694437159196,0.7706707032734607
0.048,0.8866065244483385,0.9120133955510826,0.9442316625537754,0.7695762727716521
0.04825,0.8859389741415177,0.9115300137896379,0.9438932956077202,0.7684828835998425
0.0485,0.8852703864311242,0.9110463185650601,0.9435543411757374,0.7673905347181299
0.04875,0.884600756322024,0.9105623088840265,0.9432147975481495,0.766299225085882
0.049,0.8839300787821328,0.9100779837488733,0.9428746630075672,0.7652089536617259
0.04925,0.8832583487420282,0.9095933421575689,0.9425339358288407,0.7641197194035416
0.0495,0.8825855610945539,0.9091083831036876,0.9421926142790105,0.7630315212684511
0.04975,0.8819117106944194,0.9086231055763809,0.9418506966172571,0.7619443582128125
0.05,0.8812367923577957,0.9081375085603517,0.9415081810948491,0.7608582291922078
0.05025,0.8805608008619055,0.9076515910358265,0.941165065955095,0.7597731331614394
0.0505,0.8798837309446028,0.9071653519785268,0.9408213494332893,0.7586890690745162
0.05075,0.879205577303954,0.9066787903596418,0.9404770297566616,0.7576060358846476
0.051000000000000004,0.8785263345978065,0.9061919051457998,0.9401321051443248,0.7565240325442337
0.051250000000000004,0.8778459974433579,0.9057046952990404,0.9397865738072216,0.7554430580048576
0.051500000000000004,0.8771645604167118,0.9052171597767855,0.9394404339480724,0.7543631112172742
0.051750000000000004,0.8764820180524319,0.9047292975318093,0.9390936837613202,0.7532841911314021
0.052000000000000005,0.8757983648430907,0.9042411075122102,0.9387463214330778,0.7522062966963141
0.05225,0.8751135952388095,0.9037525886613825,0.9383983451410731,0.75112942686023
0.0525,0.8744277036467896,0.9032637399179844,0.9380497530545934,0.7500535805705024
0.05275,0.8737406844308431,0.9027745602159093,0.937700543334431,0.7489787567736127
0.053,0.8730525319109109,0.9022850484842563,0.9373507141328261,0.7479049544151567
0.05325,0.8723632403625786,0.9017952036472987,0.9370002635934115,0.7468321724398395
0.0535,0.8716728040165806,0.9013050246244543,0.9366491898511551,0.7457604097914613
0.05375,0.8709812170583011,0.9008145103302534,0.9362974910323025,0.7446896654129106
0.054,0.8702884736272658,0.9003236596743092,0.9359451652543187,0.7436199382461524
0.05425,0.8695945678166271,0.8998324715612851,0.9355922106258315,0.742551227232221
0.0545,0.8688994936726404,0.8993409448908638,0.9352386252465701,0.7414835313112056
0.05475,0.8682032451941346,0.8988490785577155,0.9348844072073074,0.7404168494222436
0.055,0.8675058163319731,0.8983568714514643,0.9345295545897991,0.7393511805035085
