p,eps0,n,F,C
0.05,0.8,7,0.9414791154839413,0.8829582309678816
0.05,0.8,8,0.9415046844289776,0.8830093688579561
0.05,0.8,9,0.9415077619029563,0.8830155238059118
0.05,0.8,10,0.9415081309635344,0.8830162619270702
0.05,0.8,11,0.9415081751102362,0.8830163502204734
0.05,0.8,12,0.9415081803813371,0.8830163607626721
0.05,0.8,13,0.9415081810098616,0.8830163620197264
0.05,0.8,14,0.9415081810847332,0.8830163621694674
0.05,0.8,15,0.9415081810936459,0.8830163621872911
0.05,0.8,16,0.941508181094706,0.8830163621894097
0.05,0.8,17,0.9415081810948321,0.8830163621896668
0.05,0.8,18,0.9415081810948472,0.8830163621896949
0.05,0.8,19,0.9415081810948488,0.8830163621896989
0.05,0.8,20,0.941508181094849,0.8830163621896987
0.05,0.8,21,0.9415081810948492,0.8830163621896961
0.05,0.8,22,0.9415081810948494,0.8830163621896968
0.05,0.8,23,0.9415081810948494,0.8830163621897015
0.05,0.8,24,0.9415081810948494,0.8830163621897015
0.05,0.8,25,0.9415081810948494,0.8830163621897015
0.05,0.8,26,0.9415081810948494,0.8830163621897015
0.05,0.8,27,0.9415081810948494,0.8830163621897015
0.05,0.8,28,0.9415081810948494,0.8830163621897015
0.05,0.8,29,0.9415081810948494,0.8830163621897015
0.05,0.8,30,0.9415081810948494,0.8830163621897015
0.05,0.8,31,0.9415081810948494,0.8830163621897015
0.05,0.8,32,0.9415081810948494,0.8830163621897015
0.05,0.8,33,0.9415081810948494,0.8830163621897015
0.05,0.8,34,0.9415081810948494,0.8830163621897015
0.05,0.8,35,0.9415081810948494,0.8830163621897015
0.05,0.8,36,0.9415081810948494,0.8830163621897015
0.05,0.8,37,0.9415081810948494,0.8830163621897015
0.05,0.8,38,0.9415081810948494,0.8830163621897015
0.05,0.8,39,0.9415081810948494,0.8830163621897015
0.05,0.8,40,0.9415081810948494,0.8830163621897015
0.1,0.1,0,0.9249999999999999,0.8499999999999993
0.1,0.1,1,0.8742662098514387,0.7485324197028768
0.1,0.1,2,0.8626191399764803,0.7252382799529611
0.1,0.1,3,0.8592998157053482,0.7185996314106964
0.1,0.1,4,0.8583088940408894,0.7166177880817791
0.1,0.1,5,0.8580091164829128,0.7160182329658258
