eps,F_in,p_star_replace,p_star_pauli,weak_noise_slope_K
0.002,0.9985,0.0014932800858951272,0.0013999500805266817,1.0021285643650197
0.004,0.997,0.0029732395113277682,0.0027874120418697828,1.0042642648396252
0.006,0.9955,0.00444005442219103,0.004162551020804091,1.0064071123095968
0.008,0.994,0.005893897559533599,0.005525528962062749,1.0085571174117878
0.01,0.9925,0.007334938344180737,0.006876504697669441,1.0107142905288018
0.012,0.991,0.008763342958741288,0.008215634023819958,1.0128786417835889
0.014,0.9895,0.010179274427162738,0.009543069775465067,1.0150501810339647
0.016,0.988,0.011582892691860917,0.01085896189861961,1.0172289178670462
0.018000000000000002,0.9865,0.012974354688544073,0.012163457520510068,1.0194148615936043
0.020000000000000004,0.985,0.014353814418806314,0.013456701017630919,1.0216080212423373
0.022,0.9835,0.0157214230205649,0.014738834081779593,1.0238084055540577
0.024,0.982,0.017077328836422132,0.016009995784145747,1.026016022975794
0.026000000000000002,0.9805,0.01842167748002075,0.01727032263751945,1.0282308816548058
0.028000000000000004,0.979,0.019754611900464684,0.01851994865668564,1.0304529894325154
0.03,0.9775,0.021076272444872007,0.01975900541706751,1.032682353838345
0.032,0.976,0.022386796919121307,0.020987622111676225,1.0349189820834699
0.034,0.9745,0.02368632064685641,0.022205925606427885,1.03716288105448
0.036000000000000004,0.973,0.024974976526806927,0.023414040493881495,1.0394140573069477
0.038000000000000006,0.9715,0.026252895088484152,0.024612089145453892,1.0416725170589056
0.04,0.97,0.0275202045463001,0.02580019176215634,1.0439382661842291
0.042,0.9685,0.028777030852170836,0.02697846642391016,1.046211310205927
0.044000000000000004,0.967,0.03002349774664877,0.028147029137483223,1.04849165428933
0.046,0.9655,0.03125972680863581,0.029305993883096074,1.0507793032351904
0.048,0.964,0.032485837503719264,0.03045547265973681,1.053074261472677
0.05,0.9625,0.03370194723118265,0.031595575529233734,1.0553765330522729
0.052000000000000005,0.961,0.03490817136973243,0.03272641065912415,1.057686121638575
0.054000000000000006,0.9595,0.036104623321957935,0.03384808436433556,1.0600030305029882
0.056,0.958,0.03729141455763684,0.03496070114778454,1.0623272625163185
0.058,0.9565,0.03846865465582086,0.03606436373983206,1.0646588201412626
0.060000000000000005,0.955,0.0396364513458234,0.03715917313670944,1.0669977054247917
0.062,0.9535,0.04079491054710792,0.03824522863791367,1.0693439199904284
0.064,0.952,0.04194413640811711,0.03932262788260979,1.0716974650304174
0.066,0.9505,0.04308423134407672,0.040391466885071926,1.0740583412977844
0.068,0.949,0.04421529607380823,0.041451840069195216,1.0764265490982903
0.07,0.9475,0.045337429655576675,0.042503840302103135,1.078802088282268
0.07200000000000001,0.946,0.046450729522009376,0.04354755892688379,1.0811849582363502
0.07400000000000001,0.9445,0.04755529151410691,0.04458308579447523,1.083575157875084
0.076,0.9430000000000001,0.04865120991438174,0.04561050929473288,1.0859726856324268
0.078,0.9415,0.04973857747914521,0.04662991638669863,1.0883775394531308
0.08,0.94,0.05081748546997082,0.04764139262809765,1.0907897167840057
0.082,0.9385,0.05188802368436049,0.04864502220408796,1.0932092145650643
0.084,0.937,0.05295028048563331,0.049640887955281224,1.0956360292205485
0.08600000000000001,0.9355,0.054004342832065635,0.05062907140506153,1.098070156649833
0.08800000000000001,0.9339999999999999,0.05505029630529824,0.0516096527862171,1.100511592218206
0.09,0.9325,0.056088225138039266,0.052582711066911814,1.1029603307475289
0.092,0.931,0.05711821224107806,0.053548323976010684,1.1054163665067627
0.094,0.9295,0.05814033922963259,0.054506568027780554,1.1078796932023796
0.096,0.9279999999999999,0.05915468644904992,0.0554575185459843,1.110350303968635
0.098,0.9265,0.06016133299987802,0.05640124968738564,1.1128281913577185
0.1,0.925,0.061160356762325785,0.05733783446468042,1.115313347329769
0.10200000000000001,0.9235,0.062151834420133924,0.05826734476887555,1.1178057632427616
0.10400000000000001,0.9219999999999999,0.06313584148386579,0.05918985139112418,1.1203054298422572
0.10600000000000001,0.9205,0.0641124523136409,0.06010542404403835,1.1228123372510233
0.108,0.919,0.06508174014132469,0.06101413138249189,1.1253264749585097
0.11,0.9175,0.06604377709219034,0.06191604102392844,1.1278478318101972
0.112,0.916,0.0669986342060661,0.06281121956818697,1.1303763959967994
0.114,0.9145,0.06794638145798505,0.06369973261686099,1.1329121550433288
0.116,0.913,0.06888708777834919,0.06458164479220237,1.1354550957980185
0.11800000000000001,0.9115,0.06982082107262123,0.06545701975558241,1.1380052044211049
0.12000000000000001,0.91,0.07074764824055872,0.0663259202255238,1.1405624663734615
0.122,0.9085,0.0716676351950027,0.06718840799531503,1.1431268664050902
0.124,0.907,0.0725808468802301,0.06804454395021572,1.1456983885434653
0.126,0.9055,0.07348734728988776,0.06889438808426977,1.1482770160817266
0.128,0.904,0.07438719948451249,0.06973799951673046,1.1508627315667284
0.13,0.9025,0.07528046560865466,0.07057543650811374,1.153455516786928
0.132,0.901,0.07616720690761077,0.0714067564758851,1.1560553527601343
0.134,0.8995,0.07704748374377954,0.07223201600979332,1.1586622197210878
0.136,0.898,0.07792135561264874,0.07305127088685819,1.1612760971088996
0.138,0.8965,0.07878888115842388,0.07386457608602238,1.1638969635543226
0.14,0.895,0.07965011818930877,0.07467198580247697,1.1665247968668724
0.14200000000000002,0.8935,0.08050512369244497,0.07547355346166716,1.169159574021783
0.14400000000000002,0.892,0.08135395384852186,0.07626933173298923,1.1718012711468058
0.14600000000000002,0.8905,0.08219666404606389,0.0770593725431849,1.1744498635088443
0.148,0.889,0.08303330889540324,0.07784372708944054,1.177105325500427
0.15,0.8875,0.08386394224234892,0.07862244585220211,1.179767630626012
0.152,0.886,0.08468861718155546,0.07939557860770824,1.18243675148813
0.154,0.8845000000000001,0.08550738606960445,0.08016317444025417,1.185112659773358
0.156,0.883,0.08632030053780047,0.08092528175418795,1.1877953262381191
0.158,0.8815,0.08712741150469291,0.0816819482856496,1.1904847206943225
0.16,0.88,0.08792876918832994,0.08243322111405932,1.1931808119948224
0.162,0.8785000000000001,0.08872442311824982,0.08317914667335921,1.1958835680187077
0.164,0.877,0.08951442214721615,0.08391977076301514,1.1985929556564188
0.166,0.8755,0.09029881446270686,0.08465513855878769,1.2013089407946862
0.168,0.874,0.09107764759815878,0.08538529462327386,1.2040314883012948
0.17,0.8725,0.0918509684439757,0.08611028291622722,1.2067605620096677
0.17200000000000001,0.871,0.0926188232583066,0.08683014680466244,1.209496124703274
0.17400000000000002,0.8694999999999999,0.09338125767759894,0.08754492907274901,1.2122381380998515
0.17600000000000002,0.868,0.09413831672693125,0.08825467193149805,1.2149865628354524
0.178,0.8665,0.09489004483013333,0.08895941702825,1.2177413584483026
0.18,0.865,0.09563648581969615,0.08965920545596515,1.2205024833624791
0.182,0.8634999999999999,0.096377682946479,0.09035407776232406,1.223269894871401
0.184,0.862,0.09711367888921729,0.09104407395864121,1.2260435491211306
0.186,0.8605,0.09784451576383635,0.09172923352859658,1.2288234010934957
0.188,0.859,0.0985702351325755,0.09240959543678953,1.2316094045890134
0.19,0.8574999999999999,0.09929087801292763,0.09308519813711966,1.2344015122096295
0.192,0.856,0.10000648488639889,0.09375607958099896,1.2371996753412657
0.194,0.8545,0.10071709570709077,0.09442227722539759,1.2400038441361743
0.196,0.853,0.10142274991011108,0.09508382804072914,1.2428139674950995
0.198,0.8514999999999999,0.10212348641981647,0.09574076851857795,1.245629993049246
0.2,0.85,0.10281934365789187,0.09639313467927363,1.2484518671420528
0.202,0.8485,0.10351035955126801,0.09704096207931376,1.251279534810767
0.20400000000000001,0.847,0.10419657153988428,0.09768428581864151,1.2541129397678255
0.20600000000000002,0.8454999999999999,0.10487801658429655,0.098323140547778,1.2569520243820376
0.20800000000000002,0.844,0.10555473117313907,0.09895756047481788,1.2597967296595665
0.21000000000000002,0.8425,0.10622675133043613,0.09958757937228388,1.262646995224713
0.212,0.841,0.10689411262277432,0.10021323058385093,1.265502759300501
0.214,0.8395,0.1075568501663349,0.10083454703093897,1.2683639586890583
0.216,0.838,0.10821499863378846,0.10145156121917669,1.271230528751795
0.218,0.8365,0.1088685922610593,0.1020643052447431,1.274102403389388
0.22,0.835,0.10951766485395661,0.10267281080058432,1.2769795150215484
0.222,0.8335,0.11016224979468099,0.10327710918251343,1.2798617945665978
0.224,0.832,0.11080238004820539,0.10387723129519255,1.2827491714208337
0.226,0.8305,0.11143808816853543,0.10447320765800196,1.2856415734376923
0.228,0.829,0.11206940630484957,0.10506506841079648,1.2885389269067056
0.23,0.8275,0.11269636620752464,0.10565284331955435,1.2914411565322526
0.232,0.826,0.11331899923404679,0.10623656178191886,1.2943481854121062
0.234,0.8245,0.11393733635481222,0.10681625283263646,1.2972599350157712
0.23600000000000002,0.823,0.1145514081588176,0.1073919451488915,1.3001763251626184
0.23800000000000002,0.8215,0.11516124485924568,0.10796366705554283,1.3030972739998115
