convention,eps,p,F_in,C_in,P_success,F_out,gain,purity_out,C_out,N_out,concurrence_gain,bell_leakage,trace_distance_to_ideal,min_eigenvalue
replace,0.0,0.0,0.9999999999999997,0.9999999999999994,0.9999999999999993,0.9999999999999998,1.1102230246251565e-16,1.0,0.9999999999999999,0.5,4.440892098500626e-16,2.2371143170757382e-17,0.0,0.0
replace,0.0,0.005,0.9999999999999997,0.9999999999999994,0.9838930953109367,0.9949687279124427,-0.005031272087556937,0.9899722463795002,0.9899374558249101,0.49496872791244284,-0.010062544175089339,2.544606877220612e-17,0.005031272087557095,0.0012609664778116536
replace,0.0,0.01,0.9999999999999997,0.9999999999999994,0.9680697749499994,0.9898748342928002,-0.010125165707199457,0.9798905046839601,0.9797496685855962,0.48987483429280076,-0.020250331414403244,3.6098591334659867e-17,0.01012516570719942,0.002543979203489754
replace,0.0,0.015,0.9999999999999997,0.9999999999999994,0.952526157432812,0.9847182284984795,-0.015281771501520214,0.9697571297119881,0.9694364569969506,0.4847182284984797,-0.030563543003048865,4.3457968284183415e-18,0.015281771501520353,0.003849201995480244
replace,0.0,0.02,0.9999999999999997,0.9999999999999994,0.9372583983999994,0.9794988549232506,-0.02050114507674905,0.9595745781803233,0.9589977098464995,0.47949885492325073,-0.04100229015349999,8.337668175527497e-18,0.020501145076749237,0.005176790102156296
replace,0.0,0.025,0.9999999999999997,0.9999999999999994,0.9222626904296868,0.9742166944845052,-0.02578330551549446,0.9493454092262621,0.9484333889690149,0.47421669448450543,-0.05156661103098459,2.644007451027675e-18,0.025783305515494598,0.006526889679482683
replace,0.0,0.03,0.9999999999999997,0.9999999999999994,0.9075352628499993,0.9688717661242333,-0.031128233875766353,0.9390722847253725,0.9377435322484685,0.4688717661242334,-0.06225646775153093,1.502584644232928e-17,0.031128233875766475,0.007899637257604593
replace,0.0,0.035,0.9999999999999997,0.9999999999999994,0.8930723815515619,0.9634641283210054,-0.0365358716789943,0.9287579694130559,0.9269282566420086,0.4634641283210056,-0.07307174335799083,2.9971930731069196e-17,0.036535871678994504,0.009295159196968375
replace,0.0,0.04,0.9999999999999997,0.9999999999999994,0.8788703487999993,0.9579938806100268,-0.042006119389972896,0.9184053307985064,0.9159877612200557,0.4579938806100269,-0.0840122387799438,3.04384645080193e-17,0.042006119389973014,0.01071357113464606
replace,0.0,0.045,0.9999999999999997,0.9999999999999994,0.8649255030484367,0.9524611651081115,-0.04753883489188815,0.9080173388596562,0.9049223302162234,0.4524611651081115,-0.09507766978377608,2.0741088432687095e-17,0.04753883489188837,0.01215497742162049
replace,0.0,0.05,0.9999999999999997,0.9999999999999994,0.8512342187499993,0.9468661680401929,-0.05313383195980681,0.8975970655077938,0.8937323360803887,0.44686616804019297,-0.10626766391961073,7.349529940972062e-18,0.05313383195980697,0.013619470551858616
replace,0.0,0.055,0.9999999999999997,0.9999999999999994,0.8377929061703118,0.9412091212637675,-0.05879087873623212,0.8871476838107142,0.8824182425275342,0.44120912126376766,-0.11758175747246524,2.0702060149735736e-17,0.05879087873623223,0.015107130584087965
replace,0.0,0.06,0.9999999999999997,0.9999999999999994,0.8245980111999993,0.9354903037874315,-0.06450969621256819,0.8766724669634851,0.8709806075748646,0.4354903037874316,-0.12901939242513483,5.926050385303355e-17,0.0645096962125683,0.016618024557272876
