circuit,n_cnot,case,case_kind,p_in_PhiP,p_in_PhiM,p_in_PsiP,p_in_PsiM,q,p_out_PhiP,p_out_PhiM,p_out_PsiP,p_out_PsiM,max_bell_offdiag,trace_weight,trace_weight_meaning,norm_err,min_bell_pop,backend_cross_check
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.05,0.8928634123388314,0.04316568472576727,0.03198545146770059,0.03198545146770062,5.642462463542351e-17,0.4797792362984178,parity_visibility,1.1102230246251565e-16,0.03198545146770059,1.394e-16
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.1,0.7917424571361216,0.08255233143065341,0.06285260571661241,0.06285260571661251,5.080356487690813e-17,0.24201689895451706,parity_visibility,0.0,0.06285260571661241,9.715e-17
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.15,0.6970283843643542,0.11802019128290482,0.0924757121763704,0.09247571217637034,1.5452460705229536e-16,0.11878082114889774,parity_visibility,2.220446049250313e-16,0.09247571217637034,7.633e-17
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.2,0.6097851485448968,0.14926015840742884,0.12047734652383699,0.12047734652383695,7.817029317622575e-17,0.05661282292203522,parity_visibility,3.3306690738754696e-16,0.12047734652383695,6.592e-17
Type3,16,isotropic_eps0.0500,deterministic,0.9625,0.0125,0.0125,0.0125,0.3,0.46227476723346633,0.19811061245404168,0.1698073101562459,0.16980731015624592,8.987352802327754e-16,0.011652603649346598,parity_visibility,1.1102230246251565e-16,0.1698073101562459,6.592e-17
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.0,0.9978134110787172,0.0007288629737608363,0.0007288629737609336,0.0007288629737609314,6.883123870701398e-17,0.8574999999999988,parity_visibility,0.0,0.0007288629737608363,2.776e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.0001,0.9975891139812074,0.0008202431488923077,0.0007953214349500513,0.0007953214349500965,7.669737601540588e-17,0.8564001650739348,parity_visibility,1.1102230246251565e-16,0.0007953214349500513,1.055e-15
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.001,0.9955713939570455,0.001642022730238579,0.0013932916563577636,0.0013932916563578921,2.9779823027346965e-17,0.8465612820293289,parity_visibility,2.220446049250313e-16,0.0013932916563577636,3.891e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.005,0.9866246155191404,0.0052803578568213,0.004047513312019132,0.004047513312019157,1.7445706861249928e-17,0.8041073301613,parity_visibility,0.0,0.004047513312019132,9.437e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.01,0.9754894791600498,0.009795920345328146,0.007357300247310973,0.007357300247310957,9.588972614204895e-17,0.7538586000093542,parity_visibility,1.1102230246251565e-16,0.007357300247310957,3.334e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.02,0.9533831502024999,0.018718082814771254,0.013949383491364284,0.013949383491364329,6.677504990863864e-17,0.6621056811678885,parity_visibility,2.220446049250313e-16,0.013949383491364284,4.446e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.05,0.8884325408361454,0.044591269470109794,0.033488094846872415,0.03348809484687242,2.43542884212061e-17,0.4459467846222782,parity_visibility,0.0,0.033488094846872415,2.512e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.1,0.7851645159450074,0.08458551325336154,0.0651249854008155,0.0651249854008155,2.6358149262601156e-17,0.22614612418888785,parity_visibility,2.220446049250313e-16,0.0651249854008155,1.110e-16
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.15,0.6889914054293298,0.12039301363515026,0.09530779046775983,0.09530779046775992,1.3117098401963016e-16,0.1116511753251927,parity_visibility,1.1102230246251565e-16,0.09530779046775983,2.130e-17
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.2,0.601028001411297,0.15171215960483694,0.12362991949193293,0.12362991949193296,3.592089124894383e-17,0.05356167815495674,parity_visibility,2.220446049250313e-16,0.12362991949193293,4.860e-17
Type3,16,isotropic_eps0.1000,deterministic,0.925,0.025,0.025,0.025,0.3,0.454190907092961,0.20008666715505344,0.1728612128759927,0.1728612128759927,6.233762403060835e-16,0.011182086392557637,parity_visibility,0.0,0.1728612128759927,5.204e-17
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.0,0.98972602739726,0.0034246575342466103,0.003424657534246578,0.0034246575342465734,5.794013591608039e-17,0.7299999999999989,parity_visibility,2.220446049250313e-16,0.0034246575342465734,1.665e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.0001,0.9894890919176479,0.003520070487920403,0.0034954187972157497,0.0034954187972157966,5.4656193717377623e-17,0.7290785490953321,parity_visibility,2.220446049250313e-16,0.0034954187972157497,8.882e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.001,0.9873578699207574,0.004378037325812612,0.004132046376714871,0.004132046376714887,8.758572880482778e-17,0.7208347258119562,parity_visibility,2.220446049250313e-16,0.004132046376714871,2.776e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.005,0.9779119680872914,0.008174852442966639,0.0069565897348709774,0.006956589734870875,1.041163730464973e-16,0.6852479899358361,parity_visibility,0.0,0.006956589734870875,5.551e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.01,0.9661652894173607,0.01288308905005009,0.010475810766294516,0.010475810766294478,2.2459888886360244e-17,0.6430935088813095,parity_visibility,2.220446049250313e-16,0.010475810766294478,4.443e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.02,0.942877873310959,0.022172360301142134,0.01747488319394942,0.017474883193949346,1.755202002298149e-16,0.5660163336298383,parity_visibility,2.220446049250313e-16,0.017474883193949346,1.156e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.05,0.8747343998893072,0.048998497426918385,0.03813355134188715,0.03813355134188718,6.045963867367073e-17,0.383768224785048,parity_visibility,0.0,0.03813355134188715,1.113e-16
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.1,0.7673978807918884,0.09007701866432537,0.07126255027189307,0.07126255027189302,1.1600203453162948e-16,0.19697821380881247,parity_visibility,1.1102230246251565e-16,0.07126255027189302,8.481e-17
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.15,0.6688299178250291,0.1263454528326103,0.1024123146711803,0.1024123146711802,1.5591766428667352e-16,0.09854804246000488,parity_visibility,1.1102230246251565e-16,0.1024123146711802,4.164e-17
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.2,0.5801687385805897,0.15755275319743467,0.13113925411098776,0.13113925411098773,1.5357398061150362e-16,0.04795416885329913,parity_visibility,2.220446049250313e-16,0.13113925411098773,8.674e-17
Type3,16,isotropic_eps0.2000,deterministic,0.85,0.05,0.05,0.05,0.3,0.4363620060890147,0.20444484295601922,0.17959657547748292,0.17959657547748295,9.989384389401162e-16,0.010317351974675131,parity_visibility,1.1102230246251565e-16,0.17959657547748292,4.163e-17
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.0,0.9726720647773278,0.00910931174089065,0.009109311740890694,0.009109311740890687,1.4127809422005924e-17,0.617499999999999,parity_visibility,1.1102230246251565e-16,0.00910931174089065,1.665e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.0001,0.9724225601596068,0.009208535119398963,0.00918445236049706,0.009184452360497046,2.9164927527883986e-17,0.6167359467612712,parity_visibility,1.1102230246251565e-16,0.009184452360497046,8.882e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.001,0.970178565596413,0.01010065129340504,0.009860391555090813,0.00986039155509097,1.4467133426978487e-17,0.6098995291495689,parity_visibility,1.1102230246251565e-16,0.009860391555090813,3.335e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.005,0.9602390909509338,0.014046092797053699,0.012857408126006227,0.012857408126006251,4.290265375899331e-17,0.580372101501603,parity_visibility,0.0,0.012857408126006227,1.665e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.01,0.9478930879760995,0.01893287675413179,0.016587017634884297,0.01658701763488437,5.1556425151152957e-17,0.5453596049447995,parity_visibility,0.0,0.016587017634884297,1.239e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.02,0.9234664641900614,0.028555094825640687,0.023989220492148834,0.023989220492148848,9.673603161291427e-17,0.4812316152139122,parity_visibility,3.3306690738754696e-16,0.023989220492148834,3.053e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.05,0.8523913192877176,0.056187140750908145,0.04571076998068704,0.04571076998068701,6.600889113043885e-17,0.32890478963455116,parity_visibility,2.220446049250313e-16,0.04571076998068701,2.221e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.1,0.7418327783057694,0.09797895943276225,0.08009413113073406,0.08009413113073409,8.950299140992939e-17,0.17124182229698146,parity_visibility,2.220446049250313e-16,0.08009413113073406,2.359e-16
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.15,0.6421195878338202,0.13423135978239598,0.11182452619189182,0.1118245261918918,1.3015675305666135e-16,0.08698645463778054,parity_visibility,2.220446049250313e-16,0.1118245261918918,6.939e-17
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.2,0.554238405304997,0.16481324651460044,0.1404741740902012,0.14047417409020113,2.7455189166364267e-16,0.04300636652830718,parity_visibility,2.220446049250313e-16,0.14047417409020113,5.551e-17
Type3,16,isotropic_eps0.3000,deterministic,0.775,0.075,0.075,0.075,0.3,0.4163063760073386,0.20934733030931743,0.18717314684167188,0.1871731468416719,2.3814948920490748e-15,0.009554351017720022,parity_visibility,2.220446049250313e-16,0.18717314684167188,3.816e-17
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.0,0.8928571428571427,0.035714285714285726,0.035714285714285726,0.03571428571428571,4.4299567623266293e-17,0.43749999999999956,parity_visibility,2.220446049250313e-16,0.03571428571428571,1.665e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.0001,0.8925923760871274,0.03581682232495555,0.03579540079395841,0.035795400793958446,9.06248437604075e-17,0.4369877830267735,parity_visibility,2.220446049250313e-16,0.03579540079395841,4.164e-16
Type3,16,isotropic_eps0.5000,deterministic,0.625,0.125,0.125,0.125,0.001,0.8902120995167159,0.03673835483988632,0.036524772821698935,0.03652477282169884,4.6001361592489697e-17,0.43240321448974894,parity_visibility,0.0,0.03652477282169884,1.111e-16
